trial,displacement,kijun_period,long_only,senkou_b_period,stop_loss_pct,take_profit_pct,tenkan_period,trailing_stop_pct,use_cloud_breakouts,use_price_cross,use_tk_cross,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
35,32.0,26.0,False,60.0,0.06209036507981004,0.06072609712038396,12.0,0.0,True,True,True,0.3793845458010737,0.20434362291699,1.7615279799378505,2.734300322971372,2.991014984807708,1.4042139109374427,0.5510885716912688,5.513137314557393,-0.08080165101850886,106.2,0.10604884029087516,0.027154778591870495,1.509105418503173,0.49181028925476744,1.4448197042174586,0.0642857142857143,-1.4448197042174586
36,30.0,38.0,False,55.0,0.05689979069706851,0.09134656309463451,13.0,0.0,True,False,True,0.3329595168099841,0.1790636365147107,1.3601395318525644,1.9632503083857853,1.901562882153815,1.2858705806683757,0.5294157046548975,3.5364339771405993,-0.12628448053489544,134.8,0.12838057863485036,0.05267855720860195,1.2712429738043778,0.4910973357310534,1.0934651960266,0.1777777777777778,-1.0934651960266
37,31.0,28.0,False,48.0,0.06728930071500853,0.07280753765998389,11.0,0.0,True,True,True,0.36116562183040196,0.19251874900652285,1.6268280531026789,2.3934631777264253,2.7539999184177617,1.3778435971745762,0.5525761500900588,5.163385829261561,-0.08316884159816837,106.8,0.11085480793363789,0.027526472474955148,1.4546320511353128,0.49393165868370514,1.3879653844686461,0.06666666666666665,-1.3879653844686461
38,26.0,36.0,False,66.0,0.06442129828227951,0.08386842915970379,14.0,0.0,False,False,True,0.2494207492639228,0.13181321987832628,0.7262382605569588,1.0877505276996386,0.8333956126214458,1.1471522396054659,0.5176346713033246,1.5692284051419618,-0.18940206071432042,259.2,0.17393947209856267,0.08488820920641485,0.8649220281355653,0.4907782347292051,0.19349345670699392,0.6714285714285714,-0.19349345670699392
39,29.0,33.0,False,43.0,0.07894317953116203,0.07343885458505134,8.0,0.0,True,True,True,0.3878605106183391,0.2015328726274292,1.6625336301098101,2.3588299877232,2.32190384949812,1.373846215907236,0.5547270354781165,4.423592807174163,-0.0853414010603839,100.2,0.10855210036673033,0.02793143162800451,1.424249798138806,0.48990903344579484,1.3837736076626155,0.040476190476190485,-1.3837736076626155
40,32.0,28.0,False,63.0,0.07007333058345779,0.06670655965933828,12.0,0.0,True,True,True,0.39784022990219564,0.21488304713407552,1.8304365582004944,2.848909641332628,3.3332398125757328,1.42957332362784,0.5510778425984975,6.162318958088777,-0.07610624743955537,102.4,0.10912739496622995,0.026829145467154935,1.5488870095911478,0.4922029224406382,1.4996806603847985,0.049206349206349226,-1.4996806603847985
41,33.0,21.0,True,56.0,0.07628577954961588,0.10571724558088791,15.0,0.0,False,False,True,0.5850209742061894,0.2838368913019117,1.1583396415102976,1.5425784163013108,1.6369088187280465,1.2606242392741493,0.522774691540461,3.312405140926066,-0.240164660314987,185.4,0.21123023488235834,0.10009670589317661,1.169476505992603,0.4791283866161119,0.7909050774211746,0.3785714285714286,-0.7909050774211746
42,30.0,31.0,False,43.0,0.06413369517609666,0.09517970914710254,13.0,0.0,True,True,True,0.36951631762186554,0.19664960176514118,1.716857948462031,2.4774768709187427,2.800360889659114,1.3833405410397277,0.5446748087852766,5.252430806280595,-0.09132465443204255,87.0,0.109959912819568,0.029717458751394678,1.4661228958767591,0.49219522419488887,1.4661228958767591,0.0,-1.4661228958767591
43,27.0,25.0,True,59.0,0.052780457772053986,0.08655426703345372,11.0,0.053874060807523584,True,True,True,0.5564132164641042,0.27476196792704005,1.3207682235632614,1.6752593017178454,1.293814217592554,1.2818348828767991,0.576529377879031,2.6303216461178023,-0.27673279639548687,231.2,0.1891938226768592,0.11052319182103221,1.1947915605117108,0.49193293836764934,0.6344741001942504,0.5603174603174603,-0.6344741001942504
44,28.0,29.0,False,49.0,0.06824555078930354,0.07993833469259748,8.0,0.0,False,False,True,0.25975681184932586,0.1366363283745755,0.8192145277289727,1.3298945377680984,1.0481411855481668,1.168532109058169,0.5261113379778399,1.9910777892032268,-0.15319971332768653,292.2,0.15465081786041332,0.07452736119458289,0.9700192647029059,0.4902505533912248,0.1676383123219536,0.8023809523809523,-0.1676383123219536
45,23.0,27.0,True,54.0,0.07979464519529239,0.06433364187584552,12.0,0.05898163831294665,True,True,True,0.6793901899694299,0.3231426276230934,1.5143397063196269,1.7838951593362817,1.7967796275465715,1.3175261450470526,0.5881463554291122,3.737417522205073,-0.22178042110380405,211.2,0.18036793157241904,0.08632605178533523,1.332061694593301,0.4919292883887212,0.8511093136409201,0.4809523809523809,-0.8511093136409201
46,31.0,38.0,False,57.0,0.07144776935076982,0.06971763453022878,10.0,0.0,True,True,True,0.385093690370443,0.20645996483039192,1.74879700516232,2.558577790151697,2.8237315014783775,1.3888341115186125,0.5554077916138171,5.255109229657888,-0.08472546220841057,97.0,0.1092905886188775,0.02843131961488853,1.4897196715269079,0.49254155492425006,1.4619418937491302,0.027777777777777776,-1.4619418937491302
47,34.0,22.0,True,61.0,0.07414508387520022,0.08897269615989535,11.0,0.06530241455225683,False,False,True,0.7407416345854689,0.3655550234139924,1.3139520041684345,1.8859428803647547,1.6563636553053578,1.297543716582822,0.5166598717186953,3.303753884582849,-0.2396783077546037,171.4,0.2330612476958625,0.09381724392788858,1.2235119929753675,0.4942012700697024,0.9004961199594945,0.32301587301587303,-0.9004961199594945
48,26.0,31.0,False,67.0,0.0776940988741013,0.12131288821860142,12.0,0.0,True,True,True,0.4083749390683245,0.21577890728821253,1.860029543254789,2.797909670480382,2.942222578287217,1.4247952756177464,0.5456314175345283,5.524869726782319,-0.07863390797423217,105.4,0.10600886637452811,0.026573477095143617,1.5187917585918318,0.49207315479359226,1.4576806474807207,0.06111111111111114,-1.4576806474807207
49,20.0,33.0,False,53.0,0.05684110340087878,0.07466852826146246,15.0,0.0,True,True,True,0.37953910971670524,0.1919931546907959,1.5997558628511073,2.3494938994410055,2.65051062895123,1.3528319083471139,0.5476101479950615,5.2083983894757075,-0.08332181001502943,126.4,0.10506822638108618,0.030563846987154353,1.4335858662886716,0.4903801975093546,1.2891414218442272,0.14444444444444446,-1.2891414218442272
