trial,long_only,lookback,signal_strength_window,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
34,False,7.0,22.0,0.07398034177749079,0.06121009870725539,0.044406234764008505,-0.030389748465584242,-0.031060332063208462,-0.27125334459402206,-0.3517587678989426,-0.25416722016939153,0.9510786552734481,0.4728585557764344,-0.2481429440608911,-0.12587319517751996,192.2,0.09999922571127362,0.06549534413162332,0.6316650423522663,0.4843381477465963,0.22610948679671078,0.4055555555555555,-0.22610948679671078
35,True,15.0,12.0,0.08598362447784297,0.10692142343941675,0.06839076368369983,0.25204766314018556,0.2576204487411021,1.389879294433295,1.5867632711946524,2.2311890078231995,1.306916944701117,0.5601731387550054,2.172806191640814,-0.20022440315719764,115.4,0.18321511370550408,0.0830334211077349,1.247803750446588,0.47535267713236384,1.147010099652937,0.10079365079365081,-1.147010099652937
36,True,14.0,18.0,0.07947439906924345,0.11895497489636817,0.0,0.2593469723483131,0.2652710146345528,1.447180795214565,1.7329007304708077,2.533503243841401,1.3229383166180295,0.5470986305742807,2.4681354866749774,-0.20152982437336622,100.4,0.18634369244366888,0.07980215361470147,1.289862832640694,0.47727905702888185,1.2485929913708527,0.04126984126984129,-1.2485929913708527
37,False,18.0,22.0,0.0877028462760681,0.07467900089417531,0.050615756616336355,-0.02728879372769939,-0.027392811046432895,-0.24370817920663973,-0.2636853256487998,0.03462682310866398,0.9683672559641142,0.45997492602257467,0.032495927378817055,-0.11771537123505445,194.4,0.09444781803342192,0.07247583751572063,0.0636343514779906,0.48147680002068,-0.3506513628077237,0.4142857142857143,0.3506513628077237
38,True,12.0,26.0,0.046939505044034074,0.09715622871495352,0.05684989609479093,0.23834438274650233,0.24442536611373528,1.3312480213189812,1.5137785430633073,2.01113711653266,1.2960272801298782,0.5592548388173914,1.9578739077256906,-0.21646440674460116,124.6,0.18907444868356632,0.0851990252903175,1.2049535650677548,0.48510145568075097,1.0676519777661675,0.13730158730158729,-1.0676519777661675
39,False,20.0,14.0,0.0696946390206849,0.0935929455257896,0.0,0.011406864682860497,0.010858510572288371,-0.07016765747043505,-0.0888621356733436,0.4259490754800093,1.0227722378014237,0.476590741258094,0.42568471668617514,-0.12721098794050478,149.0,0.09864130028894348,0.06846787024989684,0.5146133434853002,0.4884446066496905,0.28048635935831606,0.23412698412698413,-0.28048635935831606
40,True,16.0,18.0,0.055301566853857786,0.07120893504259128,0.07699143318945166,0.29795693726049016,0.3052739547620663,1.696729523720133,2.028253685215632,3.2169205417485656,1.3752519214912053,0.5739992129703478,3.1349498754583465,-0.19384126110343258,90.8,0.18533246183205349,0.07581604662399088,1.4348756801613698,0.47954288100479125,1.4317010769867666,0.0031746031746031633,-1.4317010769867666
41,True,17.0,28.0,0.059238088624975135,0.06298296009318179,0.0,0.2725953386562731,0.2790320733725379,1.505814014688799,1.654109879209145,2.8734518101847555,1.3465181084734525,0.5804644624222227,2.7956637630386263,-0.18951096632458134,108.0,0.18670282238264724,0.07179076036087662,1.351420678566905,0.4792725540361687,1.2799921071383336,0.07142857142857142,-1.2799921071383336
42,False,11.0,12.0,0.06546204860110488,0.07865923188518742,0.04706295929582263,0.07450422596806665,0.07598480190739684,0.7780243319598269,1.0315608300148724,1.1599599568746286,1.1629308113120282,0.4851348560947028,1.1325131408897549,-0.07484279516419057,107.8,0.09849427331189177,0.030414887681271364,0.8669290970612612,0.4940132954588491,0.7962941764263406,0.07063492063492062,-0.7962941764263406
43,True,14.0,16.0,0.08040354950243964,0.08615736429767971,0.06226256782004413,0.2593469723483131,0.2652710146345528,1.447180795214565,1.7329007304708077,2.533503243841401,1.3229383166180295,0.5470986305742807,2.4681354866749774,-0.20152982437336622,100.4,0.18634369244366888,0.07980215361470147,1.289862832640694,0.47727905702888185,1.2485929913708527,0.04126984126984129,-1.2485929913708527
44,True,15.0,30.0,0.043799748026577184,0.10380870523824198,0.0,0.25136406420549984,0.25691992291504195,1.385867657392367,1.5831446040383386,2.225172685424019,1.3058128757147587,0.5601731387550054,2.1669730111541825,-0.20022440315719767,115.4,0.18324194965033275,0.08302222841470015,1.246087994483854,0.4753330953041888,1.1452943436902032,0.10079365079365081,-1.1452943436902032
45,False,21.0,26.0,0.05363998829998194,0.06619888269770716,0.06696203823342159,0.04102939517657922,0.041144001877633674,0.21637429063438063,0.30640658215159416,0.9966871448679591,1.0809958626601843,0.46368864714622926,0.9880293630153283,-0.10486075575812406,159.0,0.09261306597050192,0.05709261365902348,0.46216449446825986,0.4885049928362791,0.18835497065873602,0.27380952380952384,-0.18835497065873602
46,True,20.0,18.0,0.09034661465238855,0.11474876948603717,0.05619081256284995,0.24645560953717557,0.25166069208758973,1.3736885269919539,1.4945757367914922,2.264642854239721,1.2982313589510128,0.5625861456211798,2.2140487228240486,-0.19509482488462732,106.4,0.18453032998762883,0.07710442140739751,1.2401640726084038,0.48261876851772334,1.1750847075290387,0.0650793650793651,-1.1750847075290387
47,True,17.0,24.0,0.07498088039886525,0.06504051624620055,0.0,0.272444197891312,0.278874972000842,1.5056750996706858,1.6537707475301722,2.8704437809217636,1.346405895048345,0.5804644624222227,2.7927344784068158,-0.18951096632458134,108.0,0.186682825501685,0.07179361748176931,1.351120306942308,0.4792537542606131,1.2796917355137365,0.07142857142857142,-1.2796917355137365
48,False,18.0,20.0,0.0705408946991283,0.07071651884980004,0.047271324201331816,-0.027152943875892288,-0.027255192778326266,-0.24230318369890297,-0.261726205143208,0.036924505954055054,0.9686588529025275,0.46077813887398034,0.034764084639771965,-0.11771537123505445,194.4,0.09444773768567563,0.07247475240895977,0.06773897272723327,0.4814820727438726,-0.34654674155848103,0.4142857142857143,0.34654674155848103
49,True,11.0,14.0,0.05735446657852446,0.10165141471126157,0.04384752153636358,0.22077481811167027,0.22629428681284866,1.2922517566040468,1.5755803553121528,1.5892879387231114,1.2698751904189838,0.5698687545082761,1.5475550722305804,-0.20729334298838947,103.4,0.18476983599029825,0.0800778130667548,1.1480634633281888,0.48521321110133464,1.0948888601535856,0.053174603174603194,-1.0948888601535856
