trial,data_lookback,long_only,overbought_threshold,oversold_threshold,stop_loss_pct,take_profit_pct,trailing_stop_pct,wr_period,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
31,475.0,True,-24.464677346446457,-80.04961180799843,0.06910528171324215,0.10240128363795697,0.06539510672869661,30.0,0.5722503767790339,0.2718566751014997,1.2534119946562556,1.684187634987745,1.6938092363479533,1.2564806572469167,0.5322523801618586,3.5779684635092357,-0.19353646670481606,146.4,0.20445648950236023,0.07529182028558064,1.215525784530455,0.4992798545151218,0.9917162607209312,0.22380952380952382,-0.9917162607209312
32,475.0,True,-24.653027542112348,-79.94523946940438,0.07164597448882681,0.10127829892789209,0.0669239187667239,30.0,0.6590256091398002,0.31073967971835503,1.4338777382303038,1.9775410282309445,1.9159359565789178,1.295224821419158,0.5413334646157963,4.087123342359659,-0.19721922104574405,128.4,0.20512273886230656,0.07231931917027647,1.3074590253095077,0.4988170059228395,1.1550780729285552,0.1523809523809524,-1.1550780729285552
33,475.0,True,-23.17185095690485,-84.55421123798865,0.07279319400914967,0.13235897157862828,0.07823926609036197,30.0,0.4443630995178013,0.21342376879008676,1.0122095241865048,1.294863707397239,1.3084015284783912,1.206956614850623,0.5245407612425511,2.7366372922153763,-0.22580076096649931,156.2,0.21750266927150258,0.09437934101173803,1.0666888791338647,0.4933001286978954,0.803990466435452,0.26269841269841265,-0.803990466435452
34,425.0,True,-24.5302951609722,-83.06227992546184,0.075767619982699,0.11641472502212603,0.06913765295983683,29.0,0.4641536745910706,0.21776297885905532,1.0099835480698491,1.3037092157411412,1.5209490150929554,1.2084332762281025,0.5319768899094612,3.269706093416763,-0.21987643714833188,169.4,0.21054067901933707,0.08927385042879117,1.1054246962514087,0.49617807599863195,0.7903453311720436,0.3150793650793651,-0.7903453311720436
35,325.0,True,-23.346119374422216,-81.48743908811282,0.05880726917000943,0.13936499557683607,0.06270076606636253,26.0,0.5416814278692925,0.25331802491354505,1.1623196137070873,1.5538130314617553,1.7556884020525652,1.2410888003022635,0.5425905865484673,3.795730376534428,-0.20044346881140931,159.4,0.20619505404935445,0.0768771698102844,1.203438938913563,0.4971533789456057,0.9280421135167375,0.2753968253968254,-0.9280421135167375
36,400.0,True,-22.408391924130434,-80.37248740456599,0.06631922746039541,0.10532824573294162,0.07862732845285238,27.0,0.6290267747190809,0.28557135199565875,1.2739403442224033,1.6916529914237681,1.9246381102457366,1.2679712847593165,0.5484879473804058,4.283893901577626,-0.20757655776010048,209.2,0.2008703742260624,0.07539496983887264,1.2655637737439507,0.49662127589626837,0.7925479007280778,0.47301587301587295,-0.7925479007280778
37,500.0,True,-24.921927516885518,-79.20752344499967,0.058563110101911765,0.11517961772308737,0.07003456449143688,25.0,0.6400396340025762,0.29425827274505767,1.3504129112213428,1.845030266578735,2.037473866263734,1.282438900513592,0.5367352422341312,4.473625658620275,-0.19194900887008964,152.8,0.20420361856586733,0.062471602618128966,1.2931794878396101,0.4946038925327053,1.043973138633261,0.24920634920634926,-1.043973138633261
38,500.0,True,-24.866411126884227,-79.3577601714154,0.07534062279684557,0.09020333307812914,0.06983781626096314,25.0,0.6400396340025762,0.29425827274505767,1.3504129112213428,1.845030266578735,2.037473866263734,1.282438900513592,0.5367352422341312,4.473625658620275,-0.19194900887008964,152.8,0.20420361856586733,0.062471602618128966,1.2931794878396101,0.4946038925327053,1.043973138633261,0.24920634920634926,-1.043973138633261
39,475.0,True,-17.05418501914682,-78.94130517439866,0.07977048784139437,0.10733674771409797,0.07295336157728745,24.0,0.6628776310554978,0.30359386872966115,1.4544990394997752,2.015304462800028,2.2526425996468844,1.2991372074436254,0.5412192579247559,4.976801963363422,-0.18182677585653356,119.8,0.195533896022147,0.0661542121584268,1.3495271107221507,0.4957498231334096,1.2312731424681824,0.11825396825396824,-1.2312731424681824
40,475.0,True,-16.607397853385088,-77.1144504600598,0.07901067207584211,0.10625894609456213,0.0743828375256803,24.0,0.6514853000986107,0.29862673256039307,1.4537036547023565,2.033736331173233,2.2024921678153437,1.297118622176797,0.5429471389948931,4.853297295473299,-0.17964219944182647,130.2,0.19108412469204086,0.06541247140404297,1.3475817679578865,0.49460428300530934,1.1880579584340771,0.15952380952380948,-1.1880579584340771
41,325.0,True,-16.870327329360997,-75.97096568848448,0.07905125222203524,0.10789034987144785,0.07518095878399877,24.0,0.48207205521412766,0.2258980085229519,1.1948155778584664,1.6849501976650305,1.8502468111296761,1.238031271632067,0.5395484625452118,3.973256864421316,-0.18467536334510024,191.6,0.1909990774299405,0.07629773031831596,1.2285703037633482,0.4916291197304597,0.8253957005887451,0.40317460317460313,-0.8253957005887451
42,200.0,True,-15.694007470740372,-77.26937087050493,0.07439006462273177,0.0957397279299543,0.07997721022951154,23.0,0.5762406086470764,0.26962579926662045,1.343113524961592,1.8560214177735606,1.8126990852689768,1.2707070883545275,0.5464445182980415,3.898225977653574,-0.17997277409808618,169.0,0.19127424063783183,0.06338772768072481,1.2742934891209752,0.4946730231079714,0.9608014256289117,0.3134920634920635,-0.9608014256289117
43,325.0,True,-17.208776451258423,-75.46005377760304,0.06816242916488369,0.12879619721236865,0.07427680371680727,18.0,0.6281200426804834,0.28941866717248976,1.403157963526774,1.9110662052551153,1.9270666937186676,1.286573579354139,0.5507432889038538,4.211533084813465,-0.1819461152974915,144.2,0.19477968551703642,0.06494365613402567,1.3085296720405981,0.49273341966057804,1.0934503069612331,0.21507936507936504,-1.0934503069612331
44,275.0,False,-15.790290445895915,-76.46227458196456,0.07790055237928803,0.11378541166341921,0.0,21.0,-0.5269943568520515,-0.335752008125697,-2.888400733039584,-3.8933908225220764,-0.5915254327516742,0.5972617764063244,0.40496081959009445,-0.9394347428474683,-0.5570552812811361,454.6,0.13866752324733017,0.38423943244401687,0.4826624732859348,0.49171962240087713,-1.4782734861017346,1.9609359593876694,1.4782734861017346
45,375.0,True,-16.21461631822654,-78.75623622834217,0.0794649041847656,0.10714545572305609,0.0774332043707143,23.0,0.5638352022984854,0.260007736073689,1.2761480938300092,1.7637331310233724,1.7925167570790275,1.2615534959660493,0.5404615472408644,3.9205501421449895,-0.19171095086493184,175.2,0.1952319383710515,0.07406512207975971,1.2483167820390846,0.4949140024035693,0.9102215439438466,0.33809523809523806,-0.9102215439438466
46,475.0,False,-17.702811835876194,-77.55349398829094,0.06154899478368302,0.1434060684474741,0.0,13.0,-0.5085748908508201,-0.3200278210584554,-2.718332308545052,-3.562889790678457,-0.5895337111026153,0.6086166603682586,0.4027747184750202,-0.9538998961937469,-0.5303997817686142,478.0,0.13879972121914852,0.3633529643901277,0.48474885028067366,0.4890290172736355,-1.5157332529390946,2.000482103219768,1.5157332529390946
47,350.0,True,-15.310185629177358,-75.78303449564875,0.024738150664669747,0.07690889089702271,0.0728437472375979,25.0,0.5458573541048173,0.2508580150966606,1.2546328128898374,1.7345858281248774,2.0166240748132487,1.2539663063511992,0.5406983918922358,4.427555558476039,-0.1870056372547747,183.0,0.19399546292139272,0.07149325395360959,1.265230621449023,0.49176793795220625,0.8961830024014039,0.36904761904761907,-0.8961830024014039
48,450.0,True,-18.530002275000758,-76.40866067545002,0.06481746244149456,0.08948580028522914,0.0,21.0,0.6097747383299437,0.28063860751185693,1.4010313011968,1.8919668850420805,2.017323375143365,1.2833554695207292,0.5487199529113219,4.424475872397792,-0.17927878937733072,159.8,0.18794634520766987,0.06715356677203443,1.3141574942647567,0.49408694024530025,1.0371733672806296,0.27698412698412705,-1.0371733672806296
49,250.0,False,-17.242014585161584,-78.0906747388984,0.033471570147338474,0.1262377747110933,0.07229526490795875,18.0,-0.5368451514956812,-0.34153932686322175,-2.951651083942898,-3.9279512526296885,-0.6003709977128422,0.5875646565681881,0.4011694616975274,-0.9553633193480412,-0.5605024936943703,464.0,0.1384306993696923,0.38683281895652344,0.4767975386576198,0.49247740641906884,-1.528334432858105,2.0051319715157248,1.528334432858105
