trial,consecutive_period,di_lookback,long_only,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
38,6.0,9.0,True,0.06000889144539398,0.08979657998663307,0.0,0.7181161612100004,0.31026307208332304,1.2625237417817337,1.7052441912164196,1.1411042546241255,1.2686647703526388,0.5185633453316296,2.622443208052773,-0.2707384950821522,135.0,0.22032038459339848,0.10009140111626694,1.1209100431300987,0.49219325330375285,0.9423386145586701,0.17857142857142858,-0.9423386145586701
39,2.0,14.0,False,0.07074578765173152,0.09630738983791302,0.0,0.6337319077307996,0.28729215878917663,1.7352571828593457,2.8410339689376634,3.046083483414578,1.426729768198721,0.531580874309632,6.652816112612678,-0.1059291149264843,120.8,0.14934472940931706,0.02520048538548362,1.5041531338052498,0.49234941865654747,1.3819309115830276,0.1222222222222222,-1.3819309115830276
40,2.0,20.0,False,0.06999885782188785,0.09506691002984513,0.0,0.8067450584092702,0.3491434705400635,1.655045142873929,2.973318123258673,3.3976939731068705,1.4626638282166615,0.5462856809221137,7.766460459014911,-0.10099175566419742,134.0,0.19662890643386965,0.031618728277781144,1.5472523484101945,0.4911908523855201,1.37264917380702,0.1746031746031746,-1.37264917380702
41,2.0,16.0,False,0.06800974130943867,0.0814864877200421,0.0,0.5964669519875148,0.27499867574499093,1.695541392870961,2.8202078259567966,3.199130909423863,1.4028137220398147,0.5267728837278579,6.936124763052787,-0.11002672164089174,118.2,0.1548135199879908,0.030146894618187776,1.4953912487526995,0.49188758531926496,1.3834864868479375,0.11190476190476191,-1.3834864868479375
42,6.0,19.0,False,0.07658384533625437,0.07499806921732437,0.0,0.44312969711197614,0.212231479150751,1.1850328450121357,1.8841309639783053,1.8821932442725733,1.2538384390190216,0.5250654832369642,3.936196539335346,-0.12261566085765481,180.6,0.1752692591741304,0.048947343810441094,1.2340524842950882,0.4869162970265967,0.8745286747712786,0.3595238095238095,-0.8745286747712786
43,5.0,16.0,False,0.07014819860219856,0.08156892365724694,0.0,0.5686153751538509,0.25621719533843085,1.1805687044125759,2.055685113454636,2.2375398146552747,1.3039374354161977,0.5159222429326744,4.922811785526099,-0.1238675022957122,236.0,0.2125575269812964,0.053058247045238115,1.2796600903205324,0.48685871920593754,0.700295010955453,0.5793650793650794,-0.700295010955453
44,5.0,23.0,False,0.06781049532294824,0.08587305718472815,0.0,0.48682019927931686,0.22871682328205103,1.108275861888827,1.6178676809806372,1.5277354243127292,1.2505983610215756,0.5200473891177065,3.269871914707475,-0.16595903958320293,208.8,0.18771685015615883,0.06560250921904313,1.153113297363802,0.49160632363794843,0.6816847259352306,0.4714285714285715,-0.6816847259352306
45,4.0,21.0,False,0.07370712012685361,0.09573456138894551,0.0,0.533357893275201,0.25045495852111566,1.3040391735368995,1.967106937600425,1.8449538821725482,1.3046889301367535,0.5289367656223494,3.9116491024226328,-0.14304209951668326,191.0,0.18405416847079722,0.060217988676793746,1.268518813454121,0.489972598651666,0.8677251626604702,0.4007936507936508,-0.8677251626604702
46,3.0,14.0,False,0.06367379173955179,0.07583353562662187,0.0,0.5749529403743244,0.26169799982230535,1.4853600641955593,2.3803413899019787,2.426349291877505,1.3556872102756294,0.5257828516839222,5.299711624790476,-0.11701019933932669,150.4,0.16025627389432776,0.036566710339031194,1.384486829325055,0.4916710767856108,1.1448042896425152,0.2396825396825397,-1.1448042896425152
47,2.0,18.0,False,0.07084965079247184,0.10356170567538434,0.0,0.6182006019684938,0.2837173902354953,1.614913541525358,2.7371058885952535,3.125340582056231,1.402585753827037,0.5288821015490084,6.7535926309033485,-0.09329226143911307,116.6,0.165220532141683,0.028519637137300907,1.4791581010153643,0.4915814148033997,1.3736025454598086,0.10555555555555553,-1.3736025454598086
48,3.0,15.0,False,0.07628063243004098,0.06418877172963038,0.0,0.5987166922089724,0.27315053949759116,1.5329111684472414,2.4712467268171325,2.739691166412249,1.3736081785469823,0.5286216099595832,5.986699094011012,-0.10616630276702428,133.4,0.1706479522506621,0.034713839252109566,1.4255942733708395,0.49135332045828684,1.2533720511486173,0.17222222222222225,-1.2533720511486173
49,2.0,27.0,False,0.0675016904336856,0.06035027326642445,0.052218668421139335,0.5723394772914803,0.2723874281616924,1.6213183266563878,2.6436955564627542,2.6677512624906665,1.3732701578468738,0.5364886243868523,5.59900649604262,-0.10522055600211247,123.4,0.15551062660372697,0.032881353975113936,1.4490470431613336,0.48977284638017515,1.316507360621651,0.13253968253968257,-1.316507360621651
