trial,fast,long_only,slow,smooth,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
39,12.0,False,30.0,12.0,0.026378030864216473,0.11777550549424412,0.051279042809251704,0.6652658411440406,0.2905230076092262,1.6659851932764198,2.3784787497988624,2.232825081953934,1.3934098728818234,0.5482186167073475,5.01721307810069,-0.1377304148800442,154.6,0.15549605213214707,0.04529367260252222,1.4253091881222666,0.4904618243506567,1.1689599817730603,0.2563492063492063,-1.1689599817730603
40,10.0,False,37.0,13.0,0.02148933614784449,0.07954250167728705,0.0600567087450339,0.4899051540249667,0.2241646486494076,1.4973361617882108,2.0418228168902153,2.062307097010175,1.3197051116370837,0.5436828638662454,4.505463476534332,-0.11725526969431913,165.4,0.1405648347556209,0.044520587074554016,1.3448360625305509,0.4899102226555705,1.0456297133242016,0.29920634920634925,-1.0456297133242016
41,13.0,False,35.0,10.0,0.0137054650822019,0.14545076874588422,0.0,0.6464958417548994,0.28246891117763495,1.6501074704439245,2.3566784293813483,2.365194532445936,1.3800344583124056,0.5440980019424007,5.336271860075389,-0.11942126683656021,114.2,0.15110319754810358,0.03978559970090513,1.427529366764978,0.4901594250735486,1.3314976207332319,0.09603174603174604,-1.3314976207332319
42,11.0,False,31.0,7.0,0.06668089388069433,0.12859671805752454,0.05147141229964327,0.7570061711800193,0.322639104014152,1.8903091353600545,2.7771964480125115,3.1388618968894564,1.454942044690987,0.5546946343207961,7.194476116573223,-0.10491830020433417,120.6,0.14497596944522473,0.029107316610954975,1.563812132204357,0.4925785931046443,1.4423835607757856,0.1214285714285714,-1.4423835607757856
43,12.0,False,24.0,11.0,0.03088408169908007,0.07060838978323536,0.035662801358926646,0.65194023640962,0.285924549638006,1.67421791033208,2.43987446418861,2.34433232160998,1.3861123882053807,0.54415090066511,5.220443421930407,-0.13034823419169145,133.8,0.15179883307338268,0.038357888825115455,1.43388567985305,0.4906620840528408,1.260076156043526,0.17380952380952386,-1.260076156043526
44,10.0,True,42.0,15.0,0.01750963470658892,0.11034462357374157,0.0,1.5030807185829427,0.5267211085498202,1.5317772937955527,2.0147166337802416,1.8454333218671461,1.3732738351504554,0.5587577775125441,5.295373397566089,-0.28939068894092196,151.0,0.2625322076609035,0.1280712121191757,1.3643254936720788,0.4967413053148507,1.1222620016085867,0.24206349206349206,-1.1222620016085867
45,14.0,False,38.0,5.0,0.0553243007909749,0.09593403129239485,0.04568618110610549,0.689560210086908,0.3025894030313336,1.9134460107730653,2.654090962548012,2.687285299793958,1.446959139661597,0.5558689207791133,6.128963485387146,-0.12574158516810405,134.8,0.14273967969842866,0.03916516879219211,1.5287534020149949,0.4939581323627527,1.350975624237217,0.1777777777777778,-1.350975624237217
46,12.0,True,28.0,8.0,0.028532254988305895,0.11835917147875234,0.05359691518725219,1.1797583097119237,0.4584919669459855,1.4920154850813314,2.078315950204863,1.9126226033918603,1.3712825098168033,0.5521639692084044,4.9143521782743536,-0.2442969221616723,148.8,0.24953285556498228,0.08713645744552595,1.3580739347573452,0.49334459942490644,1.1247406014240118,0.23333333333333336,-1.1247406014240118
47,9.0,False,25.0,6.0,0.03211133599137869,0.14172897985412417,0.0,0.6497388672889606,0.2906028701987664,2.011465949814924,2.7550852827430363,3.310307709230524,1.4676070976372393,0.553094314273714,7.40385485339184,-0.10516128027443179,91.2,0.13324703119802228,0.02935710925520581,1.5845107919227444,0.49499445630403816,1.5797488871608396,0.004761904761904774,-1.5797488871608396
48,11.0,True,21.0,14.0,0.01325159950315459,0.14908526188829282,0.06016878190950425,1.6235111276526673,0.5546061002838188,1.5136105257890788,2.218328264493903,2.702085173253632,1.3866918926485092,0.5586506734092055,7.870993705663167,-0.22525903719489748,175.0,0.2548086511938714,0.09012011538389712,1.4563943606625405,0.49260476068598136,1.1190927733609533,0.3373015873015873,-1.1190927733609533
49,13.0,False,44.0,9.0,0.023888196025790315,0.12275920674339956,0.0697255082842714,0.6343872059301943,0.2833962896379693,1.8365232940597918,2.543307961900402,2.80003495675131,1.4005770296038658,0.5527437728157676,6.247624971627997,-0.10459638515027732,119.8,0.14009924927663148,0.03329750769159837,1.5082793192242212,0.49268199302330834,1.390025350970253,0.11825396825396824,-1.390025350970253
